Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),BACK_SPACE:Zone Lights Total Heating Rate [W](Hourly),CORE_RETAIL:Zone Lights Total Heating Rate [W](Hourly),POINT_OF_SALE:Zone Lights Total Heating Rate [W](Hourly),FRONT_RETAIL:Zone Lights Total Heating Rate [W](Hourly),FRONT_ENTRY:Zone Lights Total Heating Rate [W](Hourly),BACK_SPACE:Zone Mean Air Temperature [C](Hourly),CORE_RETAIL:Zone Mean Air Temperature [C](Hourly),POINT_OF_SALE:Zone Mean Air Temperature [C](Hourly),FRONT_RETAIL:Zone Mean Air Temperature [C](Hourly),FRONT_ENTRY:Zone Mean Air Temperature [C](Hourly),BACK_SPACE:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),CORE_RETAIL:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),POINT_OF_SALE:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),FRONT_RETAIL:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),FRONT_ENTRY:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BACK_SPACE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),DISTRICT HEATING UTILITY:District Heating Water Rate [W](Hourly),DISTRICT HEATING UTILITY:District Heating Water Mass Flow Rate [kg/s](Hourly),BACK_SPACE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_RETAIL:Zone Thermal Comfort Fanger Model PPD [%](Hourly),POINT_OF_SALE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),FRONT_RETAIL:Zone Thermal Comfort Fanger Model PPD [%](Hourly),FRONT_ENTRY:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_RETAIL_ERV_HX:Heat Exchanger Sensible Heating Rate [W](Hourly),CORE_RETAIL BASEBOARD HEATER:Baseboard Total Heating Rate [W](Hourly),HW CIRCULATING PUMP:Pump Electricity Rate [W](Hourly),HW SUPPLY INLET NODE:System Node Temperature [C](Hourly),HW SUPPLY INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),HW SUPPLY OUTLET NODE:System Node Temperature [C](Hourly),HW SUPPLY OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly) 
 10/01  01:00:00,11.166666666666666,10.503217003153976,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,19.447869273741517,20.584731891256663,19.626359210188326,18.89744658694298,18.51831824017741,0.0,0.0,0.0,0.0,0.0,15.56,23.89,15.56,29.44,15.56,23.89,15.56,23.89,15.56,40.0,0.0,0.0,15.859435101952656,9.053975308860267,14.512302058804778,19.406963768535693,23.073944097491648,0.0,0.0,0.0,22.283964334190458,0.0,22.283964334190458,0.0,42196442.584355175,0.0,6906046.45864086 
 10/01  02:00:00,12.0,11.227599423919779,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,19.36930537423358,20.545462147980796,19.683707252323103,18.953478669416615,18.572323798529556,0.0,0.0,0.0,0.0,0.0,15.56,23.89,15.56,29.44,15.56,23.89,15.56,23.89,15.56,40.0,0.0,0.0,16.318220536993913,9.271257477001285,14.207039409419506,19.03502780462737,22.60756849768516,0.0,0.0,0.0,22.283964334190458,0.0,22.283964334190458,0.0,42258990.853373155,0.0,6906046.45864086 
 10/01  03:00:00,12.0,11.082845970334198,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,19.323362536104618,20.507349062957,19.648854336867796,18.920251550407887,18.55877435261553,0.0,0.0,0.0,0.0,0.0,15.56,23.89,15.56,29.44,15.56,23.89,15.56,23.89,15.56,40.0,0.0,0.0,16.695224861468812,9.481637628616307,14.524653727384049,19.399151345789928,22.755659300337403,0.0,0.0,0.0,22.283964334190458,0.0,22.283964334190458,0.0,42196444.117468625,0.0,6906046.45864086 
 10/01  04:00:00,12.0,10.952796408174317,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,19.275013736042098,20.462758568352985,19.581343220520303,18.85577060045929,18.517805215433018,0.0,0.0,0.0,0.0,0.0,15.56,23.89,15.56,29.44,15.56,23.89,15.56,23.89,15.56,40.0,0.0,0.0,17.123009344798373,9.738935238054609,15.074461317299212,20.037349788777423,23.192660483261022,0.0,0.0,0.0,22.283964334190458,0.0,22.283964334190458,0.0,42258991.98400558,0.0,6906046.45864086 
 10/01  05:00:00,12.0,10.968130180897207,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,20.964345123101985,20.40971114547092,21.453425116227265,20.91700950906301,22.150543193222386,0.0,0.0,0.0,0.0,0.0,22.0,23.89,15.560000000000002,29.439999999999998,22.0,23.89,22.0,23.89,22.0,40.0,15889.440107759881,1.1928512991383373,10.75383543229627,10.031995123943434,8.924760348287377,11.515238675585147,8.292727728504255,0.0,0.0,305.6026230967348,24.017370811623152,1.1928512991383373,27.199999999999992,1.1928512991383373,43296597.77137134,0.0,6906046.45864086 
 10/01  06:00:00,12.0,11.11337219783775,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,21.616172625156697,20.354644887976306,21.999427649221563,21.58895339284045,22.000199780768142,0.0,0.0,0.0,0.0,0.0,22.0,23.89,15.56,29.44,22.0,23.89,22.0,23.89,22.0,40.0,13012.133086850554,1.083117782855284,8.371035765207523,10.292507447714224,7.212749587777995,8.84821604191716,7.859399731250032,0.0,0.0,277.5103106739646,24.321598605991937,1.083117782855284,27.2,1.083117782855284,43257988.71301604,0.0,6906046.45864086 
 10/01  07:00:00,12.0,11.029292740918024,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,21.70761580430008,20.316986737664163,21.999942835241484,21.612247994713524,22.00008208087871,0.0,0.0,0.0,0.0,0.0,22.0,23.89,17.8,27.8,22.0,23.89,22.0,23.89,22.0,40.0,12953.425770065742,1.1035148059463304,8.034265898345687,10.483609110590136,7.266649570073203,8.798385902833154,7.758116711516943,0.0,0.0,282.7408012450633,24.389099139672044,1.1035148059463304,27.199999999999992,1.1035148059463304,14426702.440648831,0.0,6906046.45864086 
 10/01  08:00:00,12.0,11.234795916927872,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,21.560684386799647,20.02456325822555,21.8178546746782,21.414706100879176,21.99961550449098,0.0,0.0,0.0,0.0,0.0,22.0,23.89,20.0,25.599999999999998,22.0,23.89,22.0,23.89,22.0,40.0,18612.801233183076,1.3853863796883212,8.306683070836414,11.540420550035675,7.407167476665485,9.002040811060086,7.408112051483603,12402.8315129659,3873.4879376930635,354.9268145894212,23.99439298136262,1.3853863796883212,27.199999999999992,1.3853863796883212,21825679.445019715,7076571.42857143,6906046.45864086 
 10/01  09:00:00,12.0,11.462213608296565,342.92974212000007,2928.6644408427,275.96163903,275.96163903,13.175016,21.68168003012245,21.208330679337163,21.999975230815377,21.744467572048393,22.000029280841456,0.0,0.0,0.0,0.0,0.0,22.0,23.89,22.0,23.89,22.0,23.89,22.0,23.89,22.0,40.0,31963.73119010248,2.5532595690836533,7.833355748698383,8.117496040219473,6.5610284812362165,7.600176948532351,6.779131621878636,13877.521895923834,18378.451115845397,654.1626956800319,24.205708160910472,2.5532595690836533,27.2,2.5532595690836533,38161029.37622002,7076571.42857143,13812092.91728172 
 10/01  10:00:00,12.583333333333334,12.035406345971934,1371.7189684800003,11714.6577633708,1103.84655612,1103.84655612,52.700064,21.91480101027054,21.924117048289762,21.99998569761622,21.997801786517996,22.000512548593786,0.0,0.0,0.0,0.0,0.0,22.0,23.89,22.0,23.89,22.0,23.89,22.0,23.89,22.0,40.0,22758.003157428717,1.9326861848987729,6.979435656231627,6.151219054244507,5.960529706625977,6.388962509324474,6.202258037267126,14251.294726178488,13463.646965631795,495.12475027924347,23.72400497964546,1.9326861848987729,26.602083333333336,1.9326861848987729,93878480.6394981,7076571.42857143,55248371.66912688 
