Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),BACK_SPACE:Zone People Total Heating Rate [W](TimeStep),CORE_RETAIL:Zone People Total Heating Rate [W](TimeStep),POINT_OF_SALE:Zone People Total Heating Rate [W](TimeStep),FRONT_RETAIL:Zone People Total Heating Rate [W](TimeStep),FRONT_ENTRY:Zone People Total Heating Rate [W](TimeStep),BACK_SPACE:Zone Lights Total Heating Rate [W](TimeStep),CORE_RETAIL:Zone Lights Total Heating Rate [W](TimeStep),POINT_OF_SALE:Zone Lights Total Heating Rate [W](TimeStep),FRONT_RETAIL:Zone Lights Total Heating Rate [W](TimeStep),FRONT_ENTRY:Zone Lights Total Heating Rate [W](TimeStep),BACK_SPACE:Zone Electric Equipment Total Heating Rate [W](TimeStep),CORE_RETAIL:Zone Electric Equipment Total Heating Rate [W](TimeStep),POINT_OF_SALE:Zone Electric Equipment Total Heating Rate [W](TimeStep),FRONT_RETAIL:Zone Electric Equipment Total Heating Rate [W](TimeStep),BACK_SPACE:Enclosure Windows Total Transmitted Solar Radiation Rate [W](TimeStep),CORE_RETAIL:Enclosure Windows Total Transmitted Solar Radiation Rate [W](TimeStep),POINT_OF_SALE:Enclosure Windows Total Transmitted Solar Radiation Rate [W](TimeStep),FRONT_RETAIL:Enclosure Windows Total Transmitted Solar Radiation Rate [W](TimeStep),FRONT_ENTRY:Enclosure Windows Total Transmitted Solar Radiation Rate [W](TimeStep),BACK_SPACE:Zone Mean Air Temperature [C](TimeStep),CORE_RETAIL:Zone Mean Air Temperature [C](TimeStep),POINT_OF_SALE:Zone Mean Air Temperature [C](TimeStep),FRONT_RETAIL:Zone Mean Air Temperature [C](TimeStep),FRONT_ENTRY:Zone Mean Air Temperature [C](TimeStep),BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),DISTRICT HEATING UTILITY:District Heating Water Rate [W](TimeStep),BACK_SPACE_ERV_HX:Heat Exchanger Sensible Heating Rate [W](TimeStep),CORE_RETAIL_ERV_HX:Heat Exchanger Sensible Heating Rate [W](TimeStep),POINT_OF_SALE_ERV_HX:Heat Exchanger Sensible Heating Rate [W](TimeStep),FRONT_RETAIL_ERV_HX:Heat Exchanger Sensible Heating Rate [W](TimeStep),FRONT_ENTRY_ERV_HX:Heat Exchanger Sensible Heating Rate [W](TimeStep),BACK_SPACE BASEBOARD HEATER:Baseboard Total Heating Rate [W](TimeStep),BACK_SPACE BASEBOARD HEATER:Baseboard Hot Water Mass Flow Rate [kg/s](TimeStep),BACK_SPACE BASEBOARD HEATER:Baseboard Water Inlet Temperature [C](TimeStep),BACK_SPACE BASEBOARD HEATER:Baseboard Water Outlet Temperature [C](TimeStep),CORE_RETAIL BASEBOARD HEATER:Baseboard Total Heating Rate [W](TimeStep),CORE_RETAIL BASEBOARD HEATER:Baseboard Hot Water Mass Flow Rate [kg/s](TimeStep),CORE_RETAIL BASEBOARD HEATER:Baseboard Water Inlet Temperature [C](TimeStep),CORE_RETAIL BASEBOARD HEATER:Baseboard Water Outlet Temperature [C](TimeStep),POINT_OF_SALE BASEBOARD HEATER:Baseboard Total Heating Rate [W](TimeStep),POINT_OF_SALE BASEBOARD HEATER:Baseboard Hot Water Mass Flow Rate [kg/s](TimeStep),POINT_OF_SALE BASEBOARD HEATER:Baseboard Water Inlet Temperature [C](TimeStep),POINT_OF_SALE BASEBOARD HEATER:Baseboard Water Outlet Temperature [C](TimeStep),FRONT_RETAIL BASEBOARD HEATER:Baseboard Total Heating Rate [W](TimeStep),FRONT_RETAIL BASEBOARD HEATER:Baseboard Hot Water Mass Flow Rate [kg/s](TimeStep),FRONT_RETAIL BASEBOARD HEATER:Baseboard Water Inlet Temperature [C](TimeStep),FRONT_RETAIL BASEBOARD HEATER:Baseboard Water Outlet Temperature [C](TimeStep),FRONT_ENTRY BASEBOARD HEATER:Baseboard Total Heating Rate [W](TimeStep),FRONT_ENTRY BASEBOARD HEATER:Baseboard Hot Water Mass Flow Rate [kg/s](TimeStep),FRONT_ENTRY BASEBOARD HEATER:Baseboard Water Inlet Temperature [C](TimeStep),FRONT_ENTRY BASEBOARD HEATER:Baseboard Water Outlet Temperature [C](TimeStep),HW CIRCULATING PUMP:Pump Mass Flow Rate [kg/s](TimeStep),HW SUPPLY OUTLET NODE:System Node Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),DistrictHeatingWater:Facility [J](TimeStep),Fans:Electricity [J](TimeStep) 
 01/01  00:10:00,1.5,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,22.82721205076107,23.38321460690131,22.61778822956537,22.508250433223154,22.069212038871424,17.999999999999996,17.999999999999996,17.999999999999996,17.999999999999996,17.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29676399227817,39.29676399227817,0.0,0.0,39.29676399227817,39.29676399227817,0.0,0.0,39.29676399227817,39.29676399227817,0.0,0.0,39.29676399227817,39.29676399227817,0.0,0.0,39.29676399227817,39.29676399227817,0.0,24.41500277302608,7011891.392463634,0.0,0.0 
 01/01  00:20:00,2.8,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,21.44736476586654,22.54387850971538,21.046327869863184,20.81957548301455,20.407274914597128,18.000000000000004,18.000000000000004,18.000000000000004,18.000000000000004,18.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29676399227819,39.29676399227819,0.0,0.0,39.29676399227819,39.29676399227819,0.0,0.0,39.29676399227819,39.29676399227819,0.0,0.0,39.29676399227819,39.29676399227819,0.0,0.0,39.29676399227819,39.29676399227819,0.0,24.41500277302609,7011891.392463634,0.0,0.0 
 01/01  00:30:00,4.1,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,20.949744078408017,22.19714952873514,20.496963524496422,20.226388647419068,19.975268277781847,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,24.415002773026085,7074428.368619623,0.0,0.0 
 01/01  00:40:00,5.3999999999999995,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,20.60062539547956,21.92014606243363,20.143472125435203,19.83900336626368,19.745728235827045,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,24.415002773026085,7011891.392463634,0.0,0.0 
 01/01  00:50:00,6.7,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,20.318481084410983,21.657944856708127,19.894864152096297,19.560358425905267,19.604876073396536,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,24.415002773026085,7074431.862413548,0.0,0.0 
 01/01  01:00:00,8.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,20.1108914791862,21.445311699326787,19.74622600455614,19.388216798180473,19.5114397198515,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,24.415002773026085,7011891.392463634,0.0,0.0 
 01/01  01:10:00,8.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,19.966251380165204,21.294970351013287,19.65006622928551,19.276148081677057,19.408621424071914,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,24.415002773026085,7011891.392463634,0.0,0.0 
 01/01  01:20:00,8.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,19.86122136733765,21.194374187175683,19.57140062085163,19.186789861214276,19.290261648495314,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,24.415002773026085,7074435.7498388225,0.0,0.0 
 01/01  01:30:00,8.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,19.777422210823055,21.12453198984252,19.497793367250257,19.104991037339694,19.172987502486695,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,24.415002773026085,7011891.392463634,0.0,0.0 
 01/01  01:40:00,8.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,19.705592463399036,21.071460044006074,19.429331711959698,19.02908599866193,19.067735797595613,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,24.415002773026085,7074436.518915799,0.0,0.0 
